time,low,high,open,close,volume
2020-01-01 01:00:00,114.91,116.59,114.98,116.59,700.27945258
2020-01-01 02:00:00,116.42,116.95,116.68,116.88,182.7918036
2020-01-01 03:00:00,116.0,116.89,116.89,116.26,21.24898688
2020-01-01 04:00:00,116.14,116.46,116.3,116.21,43.64785958
2020-01-01 05:00:00,116.19,116.39,116.26,116.36,37.75130957
2020-01-01 06:00:00,116.26,116.65,116.28,116.47,1262.15566192
2020-01-01 07:00:00,116.21,116.63,116.44,116.28,98.7411325
2020-01-01 08:00:00,115.68,116.3,116.28,116.3,782.66779586
2020-01-01 09:00:00,115.96,116.27,116.27,116.04,72.70303107
2020-01-01 10:00:00,115.92,116.54,116.04,116.52,270.9602838
2020-01-01 11:00:00,116.39,117.47,116.5,116.71,524.76224361
2020-01-01 12:00:00,116.57,117.42,116.68,117.42,306.51596804
2020-01-01 13:00:00,117.06,117.51,117.42,117.41,371.12477514
2020-01-01 14:00:00,117.0,117.89,117.4,117.6,247.54210461
2020-01-01 15:00:00,117.32,117.98,117.71,117.7,127.07697824
2020-01-01 16:00:00,117.55,118.35,117.69,118.33,183.54825683
2020-01-01 17:00:00,117.77,118.49,118.31,117.88,561.61098003
2020-01-01 18:00:00,117.36,118.09,117.88,117.59,416.7327934
2020-01-01 19:00:00,117.25,117.69,117.53,117.54,158.08329733
2020-01-01 20:00:00,117.34,117.93,117.46,117.85,267.85615657
2020-01-01 21:00:00,117.36,117.95,117.8,117.5,569.93278406
2020-01-01 22:00:00,115.74,117.55,117.55,116.1,679.2413822
2020-01-01 23:00:00,115.4,116.52,115.96,116.26,500.25560679
2020-01-02 00:00:00,115.97,116.38,116.26,116.35,363.06333297
2020-01-02 01:00:00,115.79,116.35,116.35,116.04,81.91235805
2020-01-02 02:00:00,114.8,116.0,116.0,115.26,252.6341031
2020-01-02 03:00:00,114.71,115.21,115.21,114.71,36.05071304
2020-01-02 04:00:00,114.86,115.53,114.86,115.53,34.9645562
2020-01-02 05:00:00,115.25,115.56,115.47,115.45,39.80518403
2020-01-02 06:00:00,115.14,115.73,115.44,115.23,64.37896539
2020-01-02 07:00:00,114.91,115.52,115.24,115.23,253.425709
2020-01-02 08:00:00,115.25,116.05,115.25,116.05,196.1299995
2020-01-02 09:00:00,115.44,116.0,116.0,115.83,359.68968185
2020-01-02 10:00:00,115.48,116.07,115.76,115.48,723.32032812
2020-01-02 11:00:00,115.31,115.69,115.56,115.68,217.79911224
2020-01-02 12:00:00,115.46,115.78,115.68,115.78,563.76343608
2020-01-02 13:00:00,114.9,115.78,115.77,115.28,506.9842735
2020-01-02 14:00:00,115.25,115.96,115.26,115.69,265.60629611
2020-01-02 15:00:00,115.57,115.99,115.72,115.64,344.5931229
2020-01-02 16:00:00,113.45,115.71,115.58,114.13,1555.47509113
2020-01-02 17:00:00,112.86,114.13,114.13,113.84,1239.71838523
2020-01-02 18:00:00,113.72,114.24,113.97,114.18,596.9111929
2020-01-02 19:00:00,113.75,114.2,114.13,114.16,370.57359872
2020-01-02 20:00:00,113.22,114.15,114.07,113.77,499.22165124
2020-01-02 21:00:00,113.63,114.34,113.65,114.28,218.19822002
2020-01-02 22:00:00,113.74,114.15,114.15,113.89,228.77694189
2020-01-02 23:00:00,113.44,113.9,113.9,113.49,346.93751736
2020-01-03 00:00:00,113.45,113.97,113.59,113.5,137.52560861
2020-01-03 01:00:00,112.24,113.6,113.49,112.61,301.20684937
2020-01-03 02:00:00,112.42,113.46,112.53,113.46,66.77303367
2020-01-03 03:00:00,113.16,113.54,113.37,113.34,58.71939001
2020-01-03 04:00:00,113.43,116.35,113.43,116.0,815.97832382
2020-01-03 05:00:00,115.19,116.29,115.71,115.61,56.99165573
2020-01-03 06:00:00,115.25,115.77,115.63,115.67,107.59327099
2020-01-03 07:00:00,115.36,116.07,115.57,115.39,281.70457412
2020-01-03 08:00:00,115.41,119.69,115.41,118.35,2258.91141037
2020-01-03 09:00:00,118.24,119.11,118.4,118.68,802.7768951
2020-01-03 10:00:00,118.17,119.1,118.81,118.67,578.38949695
2020-01-03 11:00:00,118.5,119.24,118.63,119.24,793.95917499
2020-01-03 12:00:00,118.36,119.42,119.23,118.79,532.70404954
2020-01-03 13:00:00,118.65,120.15,118.85,119.93,861.84465072
2020-01-03 14:00:00,117.53,120.06,119.78,118.17,815.85732346
2020-01-03 15:00:00,118.0,118.97,118.11,118.81,358.04950992
